OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.053951999793450035,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,4.0,2.0,20,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,98,49,1223
linear,0.10108800232410431,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,12.0,6.0,30,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,221,182,1892
linear,0.1365013321240743,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,14.4,7.2,36,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,211,240,2270
linear,0.05713066707054774,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,5.8,2.9,58,1,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,51,32,3698
linear,0.07047466685374577,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,14.4,7.2,48,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,174,56,3067
linear,0.08594133208195369,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,12.2,6.1,61,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,99,98,3886
linear,0.11469866583744685,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,8.8,4.4,44,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,72,217,2800
linear,0.14888533453146616,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,14.4,7.2,48,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,143,237,3072
linear,0.11608533312877019,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,61.6,7.7,77,1,2,256,1,1,cu121,";maxwell_sgemm_32x128_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,39,227,2450
linear,0.056394667675097786,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,7.6,0.95,19,1,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,26,8,2431
linear,0.07590400179227193,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,11.8,5.9,59,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,122,86,3713
linear,0.19490133225917816,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,18.4,9.2,46,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,249,247,2924
linear,0.0782293329636256,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,17.2,8.6,43,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,206,31,2723
linear,0.0657493347922961,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,91.2,11.4,114,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,195,2,3648
