OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H,large
softmax,0.0978239998221397,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",73.92857,18.482143,1035,1,1,32,4,1,cu121,4139,871,True
softmax,0.1224320009350776,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",100.42857,25.107143,1406,1,1,32,4,1,cu121,5622,924,True
softmax,0.102131201326847,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",125.07143,31.267857,1751,1,1,32,4,1,cu121,7001,522,True
softmax,0.1160895988345146,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",88.0,22.0,1232,1,1,32,4,1,cu121,4927,954,True
softmax,0.1340671986341476,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",145.14285,36.285713,2032,1,1,32,4,1,cu121,8127,715,True
softmax,0.0916224002838134,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",85.57143,21.392857,1198,1,1,32,4,1,cu121,4791,670,True
softmax,0.1174720004200935,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",133.28572,33.32143,1866,1,1,32,4,1,cu121,7461,639,True
softmax,0.1106047973036766,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",144.5,36.125,2023,1,1,32,4,1,cu121,8089,520,True
softmax,0.1063616007566452,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",95.92857,23.982143,1343,1,1,32,4,1,cu121,5371,769,True
softmax,0.3496064007282257,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",849.8571,106.23214,5949,1,1,256,1,1,cu121,5949,1988,True
softmax,0.3712895989418029,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1047.8572,130.98215,7335,1,1,256,1,1,cu121,7335,1791,True
softmax,0.3297088027000427,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",935.4286,116.92857,6548,1,1,256,1,1,cu121,6548,1771,True
softmax,0.3085311949253082,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1086.4286,135.80357,7605,1,1,256,1,1,cu121,7605,1398,True
softmax,0.2900992095470428,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",900.5714,112.57143,6304,1,1,256,1,1,cu121,6304,1247,True
softmax,0.4229888021945953,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",1098.4286,137.30357,7689,1,1,256,1,1,cu121,7689,1924,True
softmax,0.2228735983371734,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",774.5714,96.82143,5422,1,1,256,1,1,cu121,5422,1311,True
softmax,0.3831936001777649,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",999.1429,124.89286,6994,1,1,256,1,1,cu121,6994,1913,True
softmax,0.2194495975971221,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",592.0,74.0,4144,1,1,256,1,1,cu121,4144,1760,True
softmax,0.2691968023777008,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",817.4286,102.17857,5722,1,1,256,1,1,cu121,5722,1251,True
softmax,0.2681023955345153,Tesla P100-PCIE-16GB,p2.1.0,8902,"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",807.0,100.875,5649,1,1,256,1,1,cu121,5649,1608,True
